game_id,season,game_type,week,date,weekday,gametime,home,away,neutral,div_game,roof,temp,wind,home_rest,away_rest,spread_close,total_close,home_ml,away_ml,margin,total_points,playoff,home_cover_margin,home_covered,over_margin,over_result,home_won,primetime,abs_spread,dog_is_home,has_fav,dog_res,home_res,over_res,under_res,ml_fav,ml_dog,ret_fav,ret_dog,pred_home_margin,abs_spread_err,abs_total_err
2021_20_BUF_KC,2021,DIV,20,2022-01-23,Sunday,18:30,KC,BUF,0,0,outdoors,35.0,6.0,7,8,-2.5,54.0,-138.0,124.0,6.0,78.0,1,3.5,W,24.0,O,1,0,2.5,False,True,L,W,W,L,-138.0,124.0,0.7246376811594203,-1.0,2.5,3.5,24.0
2021_21_CIN_KC,2021,CON,21,2022-01-30,Sunday,15:00,KC,CIN,0,0,outdoors,41.0,4.0,7,8,-7.0,54.5,-320.0,250.0,-3.0,51.0,1,-10.0,L,-3.5,U,0,0,7.0,False,True,W,L,L,W,-320.0,250.0,-1.0,2.5,7.0,10.0,3.5
2021_21_SF_LA,2021,CON,21,2022-01-30,Sunday,18:30,LA,SF,0,1,dome,,,7,8,-3.5,45.5,-180.0,155.0,3.0,37.0,1,-0.5,L,-8.5,U,1,0,3.5,False,True,W,L,L,W,-180.0,155.0,0.5555555555555556,-1.0,3.5,0.5,8.5
2021_22_LA_CIN,2021,SB,22,2022-02-13,Sunday,18:30,CIN,LA,1,0,dome,,,14,14,4.5,48.5,160.0,-190.0,-3.0,43.0,1,1.5,W,-5.5,U,0,0,4.5,True,True,W,W,L,W,-190.0,160.0,0.5263157894736842,-1.0,-4.5,1.5,5.5
2022_01_BUF_LA,2022,REG,1,2022-09-08,Thursday,20:20,LA,BUF,0,0,dome,,,7,7,1.0,51.5,106.0,-117.0,-21.0,41.0,0,-20.0,L,-10.5,U,0,1,1.0,True,True,L,L,L,W,-117.0,106.0,0.8547008547008547,-1.0,-1.0,20.0,10.5
2022_01_NO_ATL,2022,REG,1,2022-09-11,Sunday,13:00,ATL,NO,0,1,closed,,,7,7,6.0,43.5,201.0,-228.0,-1.0,53.0,0,5.0,W,9.5,O,0,0,6.0,True,True,W,W,W,L,-228.0,201.0,0.4385964912280701,-1.0,-6.0,5.0,9.5
2022_01_CLE_CAR,2022,REG,1,2022-09-11,Sunday,13:00,CAR,CLE,0,0,outdoors,,,7,7,-2.5,42.5,-125.0,114.0,-2.0,50.0,0,-4.5,L,7.5,O,0,0,2.5,False,True,W,L,W,L,-125.0,114.0,-1.0,1.14,2.5,4.5,7.5
2022_01_SF_CHI,2022,REG,1,2022-09-11,Sunday,13:00,CHI,SF,0,0,outdoors,,,7,7,6.5,38.0,217.0,-248.0,9.0,29.0,0,15.5,W,-9.0,U,1,0,6.5,True,True,W,W,L,W,-248.0,217.0,-1.0,2.17,-6.5,15.5,9.0
2022_01_PIT_CIN,2022,REG,1,2022-09-11,Sunday,13:00,CIN,PIT,0,1,outdoors,,,7,7,-7.5,44.5,-308.0,264.0,-3.0,43.0,0,-10.5,L,-1.5,U,0,0,7.5,False,True,W,L,L,W,-308.0,264.0,-1.0,2.64,7.5,10.5,1.5
2022_01_PHI_DET,2022,REG,1,2022-09-11,Sunday,13:00,DET,PHI,0,0,dome,,,7,7,6.0,49.0,211.0,-240.0,-3.0,73.0,0,3.0,W,24.0,O,0,0,6.0,True,True,W,W,W,L,-240.0,211.0,0.4166666666666667,-1.0,-6.0,3.0,24.0
